Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Avg Pace,Elev Gain
Running,2018-10-13 18:00:13,10,657,00:54:00,--,--,5:24,--
Swimming,2018-10-10 09:10:16,1,202,00:21:19,--,--,2:08,--
Swimming,2018-10-07 19:00:13,1,353,00:29:00,--,--,2:54,--
Running,2018-10-04 08:00:33,10,657,00:54:00,--,--,5:24,--
Swimming,2018-10-02 09:28:51,0.9,180,00:20:12,--,--,1:58,--
Running,2018-09-28 10:27:19,10,669,00:55:00,--,--,5:30,--
Swimming,2018-09-18 08:32:52,1,200,00:20:12,--,--,2:01,--
Swimming,2018-09-11 08:18:28,1,200,00:20:16,--,--,2:02,--
Running,2018-09-10 07:45:43,10.01,645,00:52:38,143,158,5:16,21
Running,2018-09-06 14:26:35,5.01,326,00:23:34,152,176,4:42,--
Swimming,2018-09-05 02:02:21,0.5,100,00:11:29,--,--,2:18,--
Running,2018-09-03 20:50:13,10,685,00:51:32,150,172,5:09,--
Swimming,2018-09-03 07:09:40,1,200,00:22:52,--,--,2:17,--
Swimming,2018-08-30 08:54:59,1,200,00:20:26,--,--,2:03,--
Running,2018-08-29 07:46:51,10,669,00:55:00,--,--,5:30,--
Swimming,2018-08-27 08:24:23,1,200,00:21:14,--,--,2:07,--
Running,2018-08-26 12:16:22,21,1553,01:51:00,--,--,5:17,--
Running,2018-08-24 07:30:11,10,700,00:50:00,--,--,5:00,--
Swimming,2018-08-21 18:12:47,1.1,220,00:23:14,--,--,2:07,--
Running,2018-08-15 14:10:44,20.01,1313,01:35:57,155,190,4:48,69
Running,2018-08-13 08:00:01,10,657,00:54:00,--,--,5:24,--
Running,2018-08-09 08:46:42,10,669,00:55:00,--,--,5:30,--
Running,2018-07-12 08:30:49,10,669,00:55:00,--,--,5:30,--
Running,2018-07-04 22:05:57,10,669,00:55:00,--,--,5:30,--
Swimming,2018-07-03 10:50:35,1.05,210,00:20:59,--,--,2:00,--
Swimming,2018-06-25 11:10:15,1,200,00:20:10,--,--,2:01,--
Running,2018-06-24 08:04:52,21.07,1449,01:27:53,175,191,4:10,1.11
Swimming,2018-06-20 08:38:27,1,200,00:19:53,--,--,1:59,--
Running,2018-06-19 08:17:48,10,672,00:48:00,--,--,4:48,--
Swimming,2018-06-06 08:31:38,1,200,00:19:54,--,--,1:59,--
Running,2018-06-05 07:50:23,10,700,00:50:00,--,--,5:00,--
Swimming,2018-05-29 19:51:25,1,200,00:19:50,--,--,1:59,--
Swimming,2018-05-23 19:04:53,1.5,300,00:29:15,--,--,1:57,--
Running,2018-05-23 10:05:43,10,658,00:47:00,--,--,4:42,--
Swimming,2018-05-18 08:16:12,1,200,00:20:02,--,--,2:00,--
Swimming,2018-05-17 17:16:24,1,200,00:19:03,--,--,1:54,--
Running,2018-05-13 14:26:20,12,812,00:58:00,--,--,4:50,--
Running,2018-05-10 13:16:35,6.76,715,02:41:59,93,137,23:59,197
Running,2018-05-09 10:02:58,10.05,714,00:51:11,151,174,5:05,43
Running,2018-05-08 08:57:11,10.32,712,00:51:13,149,174,4:58,44
Swimming,2018-04-24 09:15:28,1,200,00:19:06,--,--,1:55,--
Swimming,2018-04-20 08:26:48,1,200,00:19:26,--,--,1:55,--
Running,2018-04-18 08:16:34,12,798,00:57:00,--,--,4:45,--
Swimming,2018-04-16 18:06:46,1.5,300,00:29:43,--,--,1:59,--
Swimming,2018-04-13 08:51:54,1,200,00:18:55,--,--,1:54,--
Swimming,2018-04-10 16:01:56,1,200,00:19:03,--,--,1:54,--
Running,2018-04-08 10:01:46,10.01,601,00:48:09,139,170,4:49,13
Swimming,2018-04-06 08:30:41,1,200,00:19:53,--,--,1:59,--
Swimming,2018-04-03 16:15:20,1,200,00:18:54,--,--,1:53,--
Running,2018-03-28 11:03:35,10,672,00:48:00,--,--,4:48,--
Swimming,2018-03-26 17:37:27,1,200,00:18:34,--,--,1:51,--
Swimming,2018-03-20 17:01:05,1,200,00:18:03,--,--,1:48,--
Running,2018-03-15 17:16:36,5.01,320,00:23:39,143,172,4:43,--
Swimming,2018-03-13 08:35:24,1,200,00:19:39,--,--,1:58,--
Swimming,2018-03-09 08:11:41,1,200,00:19:11,--,--,1:55,--
Running,2018-03-06 16:27:35,5,364,00:23:18,163,176,4:39,--
Running,2018-03-03 14:12:20,10,672,00:48:00,--,--,4:48,--
Swimming,2018-02-28 08:13:07,1,200,00:19:32,--,--,1:57,--
Running,2018-02-24 15:13:01,6.01,450,00:28:51,163,184,4:48,--
Swimming,2018-02-23 18:01:47,1,200,00:18:55,--,--,1:52,--
Swimming,2018-02-22 16:16:41,1,200,00:19:06,--,--,1:55,--
Swimming,2018-02-21 09:11:53,1.5,300,00:29:18,--,--,1:57,--
Running,2018-02-08 20:54:45,10,755,00:45:59,154,167,4:36,--
Running,2018-02-06 18:31:19,10,715,00:43:31,152,171,4:21,--
Running,2018-02-05 18:57:52,10,737,00:44:51,157,168,4:29,--
Running,2018-01-20 13:54:42,10.01,500,00:50:50,126,152,5:05,39
Swimming,2018-01-18 07:56:32,1,200,00:18:14,--,--,1:49,--
Swimming,2018-01-14 12:37:00,1,200,00:17:37,--,--,1:46,--
Swimming,2018-01-09 08:24:55,1,200,00:18:17,--,--,1:50,--
Swimming,2018-01-06 12:48:28,1,200,00:19:49,--,--,1:59,--
Swimming,2018-01-05 12:31:25,1.5,300,00:28:31,--,--,1:54,--
Swimming,2018-01-04 12:31:45,1.5,300,00:29:10,--,--,1:57,--
Swimming,2018-01-03 12:58:35,1.5,300,00:28:32,--,--,1:54,--
Running,2017-12-28 14:03:49,10.01,651,00:47:14,151,170,4:43,66
Running,2017-12-27 16:40:30,10.01,639,00:48:10,151,168,4:49,65
Running,2017-12-26 15:11:35,10.01,619,00:47:40,151,170,4:46,64
Running,2017-12-25 14:56:46,10.02,636,00:48:58,155,178,4:53,68
Running,2017-12-24 15:42:47,10.01,693,00:51:16,158,175,5:07,61
Running,2017-12-10 16:23:55,10,697,00:56:45,148,164,5:40,34
Swimming,2017-12-07 09:15:38,1,200,00:30:00,--,--,3:00,--
Running,2017-12-06 20:02:35,10.01,546,00:49:32,145,165,4:57,41
Swimming,2017-12-03 12:20:23,1,200,00:17:58,--,--,1:48,--
Running,2017-12-02 13:16:58,10.01,679,00:49:03,167,175,4:54,29
Running,2017-11-30 20:02:55,10.01,734,00:49:43,171,190,4:58,57
Swimming,2017-11-28 07:37:24,1,200,00:18:08,--,--,1:49,--
Swimming,2017-11-25 09:15:30,1,200,00:17:43,--,--,1:46,--
Running,2017-11-22 19:29:12,10.01,752,00:52:23,164,188,5:14,36
Swimming,2017-11-21 07:41:51,1,200,00:17:44,--,--,1:46,--
Swimming,2017-11-19 17:29:46,1.2,240,00:21:15,--,--,1:46,--
Running,2017-11-18 13:27:02,21,1268,01:40:18,153,170,4:47,86
Swimming,2017-11-16 09:10:49,1,200,00:18:09,--,--,1:49,--
Swimming,2017-11-15 08:16:37,1,200,00:18:05,--,--,1:48,--
Swimming,2017-11-12 16:00:23,1.025,205,00:18:37,--,--,1:49,--
Swimming,2017-11-11 15:01:49,1,200,00:18:14,--,--,1:49,--
Swimming,2017-11-09 09:01:00,1,200,00:19:25,--,--,1:57,--
Swimming,2017-11-08 08:21:39,1.025,205,00:18:06,--,--,1:46,--
Swimming,2017-11-05 11:56:16,1,200,00:17:34,--,--,1:45,--
Running,2017-11-04 18:00:18,10,609,00:46:04,155,180,4:36,51
Swimming,2017-11-03 07:45:06,1.025,205,00:18:47,--,--,1:50,--
Swimming,2017-10-30 08:13:33,1,200,00:18:11,--,--,1:49,--
Running,2017-10-28 12:43:25,10.45,655,00:52:17,151,163,5:00,38
Swimming,2017-10-26 08:01:44,1,200,00:18:20,--,--,1:50,--
Swimming,2017-10-25 08:11:10,1,200,00:18:34,--,--,1:51,--
Swimming,2017-10-22 18:05:14,1.5,299,00:29:59,--,--,2:00,--
Running,2017-10-18 20:48:46,10.01,826,00:51:36,171,185,5:09,27
Swimming,2017-10-18 07:54:51,1,200,00:18:51,--,--,1:53,--
Swimming,2017-10-17 07:36:36,1.5,300,00:28:16,--,--,1:53,--
Swimming,2017-10-10 08:00:10,1.5,300,00:28:28,--,--,1:54,--
Running,2017-10-08 13:30:23,21.17,1331,01:25:56,170,182,4:04,93
Swimming,2017-10-07 12:16:39,1.2,240,00:23:41,--,--,1:58,--
Running,2017-10-05 19:20:20,8.89,354,00:45:42,116,157,5:08,7
Swimming,2017-10-04 08:28:47,1,200,00:18:54,--,--,1:53,--
Swimming,2017-10-03 09:41:55,1.5,300,00:28:46,--,--,1:51,--
Cycling,2017-09-30 15:05:25,40.06,922,01:57:41,125,164,2:94,340
Running,2017-09-29 19:05:12,10.01,827,00:53:03,170,202,5:18,--
Swimming,2017-09-28 20:43:19,1,200,00:24:24,--,--,1:55,--
Swimming,2017-09-27 08:23:48,1,200,00:18:51,--,--,1:53,--
Running,2017-09-26 20:27:21,10.01,699,00:49:37,157,175,4:57,7
Swimming,2017-09-26 08:49:43,1,200,00:19:34,--,--,1:58,--
Swimming,2017-09-25 08:24:40,1,200,00:19:15,--,--,1:55,--
Running,2017-09-23 09:44:13,9.71,612,00:47:50,147,164,4:56,8
Swimming,2017-09-22 10:31:04,1.2,240,00:24:01,--,--,2:00,--
Swimming,2017-09-21 11:39:56,1.5,300,00:30:39,--,--,2:03,--
Swimming,2017-09-20 11:26:01,1.525,307,00:31:42,--,--,2:05,--
Running,2017-09-19 18:37:48,10.01,670,00:51:40,151,167,5:10,66
Running,2017-09-18 09:54:08,13.54,1096,01:09:22,171,188,5:07,98
Swimming,2017-09-05 10:07:35,1.25,250,00:24:22,--,--,1:57,--
Swimming,2017-09-03 15:27:41,1,200,00:19:16,--,--,1:56,--
Running,2017-09-03 12:25:10,10.02,673,00:45:00,162,177,4:29,26
Swimming,2017-08-31 21:51:14,1,200,00:24:38,--,--,2:00,--
Running,2017-08-28 19:17:59,10.01,710,00:49:29,159,193,4:57,9
Swimming,2017-08-26 18:46:18,1.5,300,00:29:17,--,--,1:57,--
Swimming,2017-08-22 19:28:31,1.5,300,00:29:23,--,--,1:58,--
Swimming,2017-08-16 21:28:32,1.5,300,00:30:59,--,--,1:56,--
Cycling,2017-08-15 15:17:34,88,2018,02:53:16,155,181,1:96,561
Swimming,2017-08-12 14:28:54,1.5,300,00:30:04,--,--,2:00,--
Swimming,2017-08-08 21:25:54,1.5,300,00:28:39,--,--,1:55,--
Running,2017-08-07 19:46:15,10.01,599,00:45:06,151,176,4:30,45
Swimming,2017-08-05 18:28:26,1.5,300,00:30:49,--,--,2:03,--
Running,2017-08-04 20:44:31,10.01,646,00:53:42,146,161,5:22,21
Running,2017-08-03 19:47:23,10.01,661,00:50:41,150,165,5:04,39
Running,2017-07-31 19:37:46,10,614,00:54:05,142,161,5:24,38
Swimming,2017-07-30 13:07:15,1.5,300,00:30:37,--,--,2:02,--
Running,2017-07-28 19:54:28,21.01,1446,01:44:07,159,178,4:57,65
Swimming,2017-07-25 19:35:56,1.5,300,00:30:20,--,--,2:01,--
Running,2017-07-18 12:06:51,10.13,723,00:52:32,152,168,5:11,51
Running,2017-07-17 15:01:08,14.63,1005,01:09:16,159,176,4:44,253
Swimming,2017-07-14 21:54:40,1.55,310,00:32:18,--,--,2:05,--
Swimming,2017-07-10 20:30:21,1,200,00:19:47,--,--,1:59,--
Swimming,2017-07-08 18:24:37,1,200,00:20:04,--,--,2:00,--
Running,2017-07-08 16:06:21,9.84,657,00:48:56,148,165,4:58,34
Swimming,2017-07-05 21:59:54,1,200,00:19:44,--,--,1:58,--
Running,2017-07-04 19:08:00,8.85,613,00:42:46,157,179,4:50,28
Swimming,2017-07-03 20:37:35,1.5,302,00:30:28,--,--,1:58,--
Swimming,2017-07-01 16:01:45,1.5,300,00:30:16,--,--,2:01,--
Swimming,2017-06-25 20:24:04,0.5,100,00:14:01,--,--,2:48,--
Running,2017-06-25 08:01:22,20.85,1348,01:26:38,168,191,4:09,61
Swimming,2017-06-24 18:43:23,1,200,00:19:33,--,--,1:57,--
Running,2017-06-20 19:09:06,8.48,566,00:37:22,161,184,4:24,29
Swimming,2017-06-19 19:49:29,1.5,301,00:30:18,--,--,2:01,--
Swimming,2017-06-15 12:30:17,1.7,344,00:33:18,--,--,1:58,--
Running,2017-06-14 21:19:50,8.45,602,00:46:19,144,174,5:29,41
Running,2017-06-11 14:22:10,10.25,1362,01:31:38,165,184,8:56,758
Swimming,2017-06-10 15:56:53,1.55,313,00:32:10,--,--,2:05,--
Swimming,2017-06-06 19:11:06,0.9,180,00:17:58,--,--,1:58,--
Swimming,2017-06-05 16:00:20,1.075,215,00:22:09,--,--,2:04,--
Swimming,2017-06-02 18:34:28,1,200,00:20:50,--,--,2:05,--
Swimming,2017-05-31 19:28:59,0.8,160,00:17:17,--,--,2:08,--
Swimming,2017-05-25 16:50:04,1.05,211,00:21:31,--,--,2:03,--
Running,2017-05-23 19:03:32,8.28,502,00:37:47,148,178,4:34,27
Running,2017-05-20 14:08:50,21.3,1451,01:30:34,172,187,4:15,232
Running,2017-05-16 19:15:10,10.01,653,00:45:49,155,174,4:35,16
Swimming,2017-05-13 13:41:52,1,200,00:20:42,--,--,2:04,--
Running,2017-05-09 19:03:18,8.62,606,00:38:15,167,184,4:26,34
Swimming,2017-05-08 19:23:50,1.05,212,00:19:49,--,--,1:53,--
Swimming,2017-05-01 16:48:14,1.05,213,00:19:37,--,--,1:49,--
Running,2017-04-30 13:48:20,20.01,1412,01:33:58,162,168,4:42,61
Running,2017-04-25 19:20:37,7.34,411,00:30:41,145,173,4:11,22
Swimming,2017-04-24 20:17:40,1.5,303,00:30:07,--,--,2:00,--
Swimming,2017-04-22 15:44:52,1,200,00:19:56,--,--,2:00,--
Swimming,2017-04-20 19:40:49,1,200,00:21:35,--,--,2:10,--
Swimming,2017-04-18 19:30:22,1.05,210,00:22:18,--,--,2:07,--
Running,2017-04-17 10:43:06,20.01,1277,01:35:30,157,176,4:46,91
Swimming,2017-04-02 18:56:32,0.75,300,00:16:03,--,--,2:08,--
Running,2017-03-30 17:05:55,10.01,614,00:55:36,143,169,5:33,59
Running,2017-03-28 13:10:50,9.25,555,00:42:13,153,172,4:34,14
Running,2017-03-25 17:40:01,16.03,1063,01:16:14,164,183,4:45,80
Swimming,2017-03-24 19:25:48,1.5,300,00:32:55,--,--,2:12,--
Running,2017-03-21 17:32:38,20.02,1302,01:30:51,164,183,4:32,90
Running,2017-03-09 20:44:06,10.01,664,00:47:37,156,172,4:45,12
Cycling,2017-03-04 12:49:32,51.1,1549,02:54:28,136,170,3:02,333
Running,2017-03-03 18:13:43,10.01,658,00:46:07,158,177,4:36,26
Swimming,2017-01-05 17:46:02,0.525,89,00:22:18,--,--,4:15,--
Running,2016-12-26 15:24:49,12.01,700,00:53:20,154,172,4:26,100
Running,2016-11-27 18:10:50,17.3,1084,01:20:01,158,174,4:37,50
Swimming,2016-11-21 20:29:48,0.675,144,00:15:12,--,--,2:02,--
Running,2016-11-19 15:15:43,21,1304,01:32:06,166,184,4:23,76
Running,2016-11-08 18:13:35,10.19,808,00:50:09,173,187,4:55,23
Swimming,2016-11-07 20:21:36,0.575,115,00:11:42,--,--,2:02,--
Running,2016-10-30 13:34:00,12.06,1186,02:23:54,128,177,11:56,545
Running,2016-09-28 17:10:32,5.51,355,00:25:28,152,168,4:37,8
Running,2016-09-27 17:44:31,10.01,696,00:49:54,152,169,4:59,7
Running,2016-09-26 17:04:02,10,654,00:47:15,152,168,4:43,15
Running,2016-09-15 19:40:11,20.08,1187,01:35:35,153,181,4:46,60
Running,2016-09-13 19:06:41,7.8,518,00:43:53,141,161,5:38,45
Swimming,2016-09-09 17:03:50,1,200,00:20:09,--,--,2:01,--
Swimming,2016-09-08 18:00:01,1.5,300,00:34:55,--,--,2:20,--
Swimming,2016-09-07 18:01:12,1,200,00:21:15,--,--,2:08,--
Swimming,2016-09-06 18:19:35,1.5,300,00:29:34,--,--,1:57,--
Swimming,2016-09-02 20:29:22,1,200,00:23:27,--,--,2:21,--
Running,2016-08-30 19:08:35,6.13,350,00:23:35,163,181,3:51,13
Cycling,2016-08-26 17:08:36,20.07,283,00:50:11,102,128,2:5,129
Cycling,2016-08-25 15:40:34,50.27,605,02:15:48,75,98,2:7,393
Swimming,2016-08-22 20:07:36,1,200,00:21:07,--,--,2:07,--
Running,2016-08-21 18:59:33,7,401,00:32:53,146,176,4:42,26
Swimming,2016-08-18 20:20:23,2,400,00:45:04,--,--,2:15,--
Cycling,2016-08-18 19:46:30,3.55,165,00:15:43,136,149,4:4,--
Cycling,2016-08-18 09:03:40,8.2,279,00:26:20,132,149,3:20,26
Running,2016-08-14 12:11:40,6.01,594,00:37:54,170,196,6:19,23
Running,2016-08-14 10:27:06,7.42,1043,01:18:06,161,185,10:31,1.011
Swimming,2016-08-12 20:30:44,1.5,300,00:33:43,--,--,2:15,--
Running,2016-08-11 19:47:44,10.01,607,00:44:01,155,172,4:24,23
Swimming,2016-08-08 20:11:11,1.5,300,00:31:53,--,--,2:08,--
Running,2016-08-07 11:08:07,17.01,1117,01:15:47,166,178,4:27,506
Swimming,2016-08-05 20:04:00,1.1,220,00:25:45,--,--,2:20,--
Running,2016-08-02 19:10:19,10,656,00:50:24,149,168,5:02,358
Swimming,2016-08-01 16:21:28,0.55,80,00:44:09,--,--,7:49,--
Running,2016-07-26 19:15:08,8.16,540,00:42:39,153,177,5:14,257
Swimming,2016-07-25 20:13:22,1.05,210,00:24:34,--,--,2:17,--
Running,2016-07-24 19:49:00,19.01,1236,01:36:25,152,168,5:04,465
Swimming,2016-07-18 20:04:54,1.55,310,00:34:03,--,--,2:12,--
Swimming,2016-07-14 08:33:39,1.5,299,00:35:55,--,--,2:24,--
Running,2016-07-11 18:45:09,21.01,1502,01:51:01,155,183,5:17,183
Swimming,2016-07-04 20:18:15,0.8,160,00:16:19,--,--,2:01,--
Swimming,2016-07-01 19:58:27,2,400,00:44:49,--,--,2:14,--
Running,2016-06-30 19:31:04,20.01,1413,01:30:26,167,197,4:31,68
Running,2016-06-28 19:10:57,8.01,556,00:38:56,155,179,4:52,38
Swimming,2016-06-27 20:16:53,1.325,268,00:30:17,--,--,2:17,--
Running,2016-06-21 19:06:48,6.97,446,00:30:59,152,169,4:27,30
Swimming,2016-06-20 20:56:18,0.8,160,00:19:08,--,--,2:23,--
Swimming,2016-06-15 04:24:03,1.5,300,00:30:15,--,--,2:01,--
Swimming,2016-06-11 20:22:24,3.725,100,00:38:06,--,--,2:04,--
Swimming,2016-06-10 04:57:18,1.3,260,00:28:58,--,--,2:13,--
Running,2016-06-05 10:25:44,10.93,768,00:51:32,158,173,4:43,44
Swimming,2016-05-30 20:18:13,1.35,270,00:30:14,--,--,2:14,--
Running,2016-05-29 12:58:19,6.97,498,00:33:01,158,172,4:44,22
Cycling,2016-05-28 10:58:03,90.67,2251,03:43:50,141,181,2:46,503
Swimming,2016-05-27 19:17:45,1.5,300,00:35:13,--,--,2:21,--
Running,2016-05-26 19:05:09,10.01,600,00:43:16,161,173,4:19,25
Cycling,2016-05-05 10:24:29,81.91,2051,03:47:25,119,161,2:77,675
Running,2016-04-12 19:21:38,5.51,391,00:20:40,--,--,3:45,22
Running,2016-04-09 16:56:15,10,729,00:45:47,--,--,4:35,35
Running,2016-04-05 19:13:57,5.87,418,00:27:21,--,--,4:40,11
Running,2016-04-02 15:27:41,20.65,1521,01:38:04,--,--,4:45,37
Running,2016-03-29 19:11:49,7.31,522,00:59:24,--,--,8:08,29
Running,2016-03-26 12:38:21,21,153,01:31:02,--,--,4:20,79
Running,2016-03-20 09:57:00,5.39,391,00:23:39,--,--,4:23,11
Running,2016-03-15 19:16:00,5,317,00:16:14,--,--,3:15,3
Running,2016-02-21 13:13:22,21.01,1528,01:34:41,--,--,4:30,82
Running,2016-02-16 19:05:50,8.95,671,00:58:03,--,--,6:29,42
Running,2016-02-07 14:28:23,20.03,1488,01:27:21,--,--,4:22,72
Running,2016-02-05 13:11:52,8.86,664,00:45:30,--,--,5:08,47
Running,2016-01-26 19:03:38,8.34,625,00:44:45,--,--,5:22,31
Running,2016-01-24 13:24:08,10,745,00:42:41,--,--,4:16,42
Running,2016-01-19 19:10:55,8.43,622,00:40:01,--,--,4:45,29
Running,2016-01-17 14:12:09,10,730,00:46:17,--,--,4:38,28
Running,2015-12-27 16:06:37,9.37,679,00:42:59,--,--,4:35,50
Running,2015-12-26 15:28:19,9.3,683,00:44:24,--,--,4:47,52
Running,2015-12-12 13:55:57,6.8,507,01:14:19,--,--,10:56,49
